HCPID,HCPName,Specialty,TherapyArea,State,Region,Tier,PrePeriodRxVolume,IsTarget
HCP-0001,Dr. Ashley Anderson,Oncologist,Cardiology,NC,South,Tier 3 - Low Value,6,1
HCP-0002,Dr. David Davis,Internist,Immunology,WA,West,Tier 1 - High Value,47,1
HCP-0003,Dr. Ashley Thomas,Internist,Rare Disease,NC,South,Tier 2 - Medium Value,11,1
HCP-0004,Dr. Robert Brown,General Practitioner,Immunology,IL,Midwest,Tier 1 - High Value,9,1
HCP-0005,Dr. Dorothy Jackson,General Practitioner,Oncology,AZ,West,Tier 2 - Medium Value,16,1
HCP-0006,Dr. William Perez,Pulmonologist,Oncology,MO,Midwest,Tier 3 - Low Value,8,0
HCP-0007,Dr. Nancy Smith,Oncologist,Neurology,NJ,Northeast,Tier 2 - Medium Value,8,0
HCP-0008,Dr. Christopher Lee,General Practitioner,Oncology,PA,Northeast,Tier 3 - Low Value,19,1
HCP-0009,Dr. Margaret Smith,Pulmonologist,Cardiology,VA,South,Tier 3 - Low Value,19,1
HCP-0010,Dr. Christopher Davis,Oncologist,Neurology,CA,West,Tier 3 - Low Value,1,1
HCP-0011,Dr. Michael Perez,Oncologist,Oncology,MD,Northeast,Tier 3 - Low Value,4,1
HCP-0012,Dr. Dorothy Moore,General Practitioner,Cardiology,TN,South,Tier 2 - Medium Value,6,0
HCP-0013,Dr. Jennifer Jackson,Internist,Neurology,OH,Midwest,Tier 2 - Medium Value,16,1
HCP-0014,Dr. Ashley Perez,Cardiologist,Oncology,GA,South,Tier 2 - Medium Value,7,1
HCP-0015,Dr. Robert Anderson,Oncologist,Oncology,CA,West,Tier 2 - Medium Value,2,1
HCP-0016,Dr. David Thompson,Internist,Immunology,NC,South,Tier 2 - Medium Value,18,1
HCP-0017,Dr. William Moore,Pulmonologist,Immunology,TN,South,Tier 2 - Medium Value,11,1
HCP-0018,Dr. William Johnson,Pulmonologist,Oncology,MA,Northeast,Tier 3 - Low Value,12,0
HCP-0019,Dr. Nancy Jones,Cardiologist,Cardiology,FL,South,Tier 2 - Medium Value,13,1
HCP-0020,Dr. Sandra Brown,Cardiologist,Oncology,MA,Northeast,Tier 2 - Medium Value,1,1
HCP-0021,Dr. Thomas Garcia,Pulmonologist,Oncology,MO,Midwest,Tier 3 - Low Value,13,1
HCP-0022,Dr. Richard Thomas,Pulmonologist,Immunology,OH,Midwest,Tier 3 - Low Value,0,0
HCP-0023,Dr. Sandra Martin,Pulmonologist,Immunology,NC,South,Tier 2 - Medium Value,4,1
HCP-0024,Dr. Robert Anderson,Oncologist,Rare Disease,OH,Midwest,Tier 3 - Low Value,1,1
HCP-0025,Dr. Margaret Williams,General Practitioner,Rare Disease,TN,South,Tier 2 - Medium Value,5,1
HCP-0026,Dr. Ashley Davis,Internist,Cardiology,NY,Northeast,Tier 2 - Medium Value,18,1
HCP-0027,Dr. Ashley Lee,Oncologist,Immunology,WI,Midwest,Tier 3 - Low Value,10,0
HCP-0028,Dr. Lisa Jones,Internist,Neurology,OH,Midwest,Tier 2 - Medium Value,20,1
HCP-0029,Dr. Dorothy Thompson,Pulmonologist,Oncology,NJ,Northeast,Tier 1 - High Value,6,1
HCP-0030,Dr. Jennifer Williams,General Practitioner,Neurology,OH,Midwest,Tier 1 - High Value,15,1
HCP-0031,Dr. Dorothy Lee,Immunologist,Rare Disease,PA,Northeast,Tier 3 - Low Value,0,1
